src,flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate,scheduled_dept_clean,actual_dept_clean,scheduled_arrival_clean,actual_arrival_clean
flylouisville,2012-01-01-UA-858-PVG-SFO,,2012-01-01 01:36 PM,D77,,2012-01-01 08:18 AM,G96,,2012-01-01 01:36:00,,2012-01-01 08:18:00
weather,2011-12-08-UA-2906-PHL-MCO,2011-12-08 03:50 PM,,,2011-12-08 06:23 PM,,,2011-12-08 03:50:00,,2011-12-08 06:23:00,
allegiantair,2011-12-11-AA-59-JFK-SFO,7:10 AM- Dec 11,7:37 AM- Dec 11,Terminal 8 - 46,10:45 AM- Dec 11,10:25 AM- Dec 11,Terminal 2 - 58B,2011-12-01 07:10:00,2011-12-01 07:37:00,2011-12-01 10:45:00,2011-12-01 10:25:00
flightaware,2011-12-02-UA-382-IAD-LAX,2011-12-02 12:40PM EST,2011-12-02 12:54PM EST, C17 ,2011-12-02 03:09PM PST,2011-12-02 03:17PM PST, 75B ,,,2011-12-02 15:09:00,2011-12-02 15:17:00
orbitz,2011-12-27-UA-257-JFK-SFO,2:30pDec 27,2:26pDec 27, 10,6:14pDec 27,5:18pDec 27, 84,,,,
flightaware,2011-12-09-AA-3842-MSP-ORD,2011-12-09 06:00AM CST,2011-12-09 06:21AM CST, E14 ,2011-12-09 07:15AM CST,2011-12-09 07:21AM CST, H5 ,,,,
wunderground,2011-12-29-AA-4277-CVG-JFK,2011-12-29 12:10PM EST,2011-12-29 12:29PM EST, 1 ,2011-12-29 01:51PM EST,2011-12-29 01:58PM EST, 31D ,,,2011-12-29 13:51:00,2011-12-29 13:58:00
flightstats,2011-12-07-AA-4330-CVG-ORD,2011-12-07 3:35 PM,2011-12-07 3:47 PM,,2011-12-07 4:00 PM,2011-12-07 3:41 PM,,2011-12-07 03:35:00,2011-12-07 03:47:00,2011-12-07 04:00:00,2011-12-07 03:41:00
allegiantair,2011-12-03-UA-2830-MCO-CLT,3:27 PM- Dec 03,3:33 PM- Dec 03,,5:05 PM- Dec 03,4:51 PM- Dec 03,,2003-12-01 03:27:00,2003-12-01 03:33:00,2003-12-01 05:05:00,2003-12-01 04:51:00
gofox,2012-01-02-UA-248-PHX-ORD,12:52 PMJan 02,,,5:25 PMJan 02,,,,,,
ord,2011-12-31-UA-843-LAX-ORD,2011-12-31 2:18 PM,,73,2011-12-31 8:23 PM,,C23,2011-12-31 02:18:00,,2011-12-31 08:23:00,
wunderground,2011-12-27-AA-616-DFW-DTW,2011-12-27 09:05AM CST,2011-12-27 09:18AM CST, A19 ,2011-12-27 12:27PM EST,2011-12-27 12:28PM EST, D32 ,,,,
flightaware,2011-12-09-UA-382-IAD-LAX,2011-12-09 12:30PM EST,2011-12-09 02:35PM EST, C11 ,2011-12-09 02:35PM PST,2011-12-09 04:36PM PST, 77 ,,2011-12-09 14:35:00,2011-12-09 14:35:00,2011-12-09 16:36:00
panynj,2011-12-09-AA-1279-DFW-PHX,1:00 PM- Dec 09,1:16 PM- Dec 09,A22,2:35 PM- Dec 09,2:28 PM- Dec 09,Terminal 3,2009-12-01 01:00:00,2009-12-01 01:16:00,2009-12-01 02:35:00,2009-12-01 02:28:00
usatoday,2011-12-24-AA-1007-MIA-PHX,,5:06 PMDec 24,,,7:31 PMDec 24,,,,,
flightexplorer,2011-12-20-AA-4277-CVG-JFK,,12/20/2011 12:19PM EST,,,12/20/2011 1:32PM EST,,,,,2011-12-20 13:32:00
gofox,2011-12-25-UA-828-SFO-ORD,11:13 PMDec 25,,,5:15 AMDec 26,,,,,,
flylouisville,2011-12-05-UA-2704-DTW-PHX,,2011-12-05 11:07 AM,D14,,2011-12-05 02:00 PM,A6,,2011-12-05 11:07:00,,2011-12-05 02:00:00
flytecomm,2011-12-17-UA-257-JFK-SFO,,12/17/11 3:37 PM (-05:00),,,12/17/11 6:09 PM (-08:00),,,,,
allegiantair,2011-12-17-AA-2525-DFW-MIA,7:25 AM- Dec 17,7:37 AM- Dec 17,D30,11:10 AM- Dec 17,11:02 AM- Dec 17,Terminal D - D44,2017-12-01 07:25:00,2017-12-01 07:37:00,2017-12-01 11:10:00,2017-12-01 11:02:00
flightstats,2011-12-27-AA-400-DFW-JFK,2011-12-27 10:40 AM,2011-12-27 10:43 AM,,2011-12-27 2:59 PM,2011-12-27 3:04 PM,,2011-12-27 10:40:00,2011-12-27 10:43:00,2011-12-27 02:59:00,2011-12-27 03:04:00
boston,2011-12-25-AA-3786-IAH-ORD,4:00 PM- Dec 25,4:15 PM- Dec 25,,6:40 PM- Dec 25,6:15 PM- Dec 25,,2025-12-01 04:00:00,2025-12-01 04:15:00,2025-12-01 06:40:00,2025-12-01 06:15:00
flylouisville,2011-12-25-AA-404-MIA-MCO,06:45 AM  Sun 25-Dec-2011,06:44 AM  Sun 25-Dec-2011,E5,07:45 AM  Sun 25-Dec-2011,07:46 AM  Sun 25-Dec-2011,16,2011-12-25 06:45:00,2011-12-25 06:44:00,2011-12-25 07:45:00,2011-12-25 07:46:00
