Index,Original,Normalized
1,2011-12-08 03:50 PM,2011-12-08 03:50:00
2,7:10 AM- Dec 11,2000-12-11 07:10:00
3,2011-12-02 12:40PM EST,2011-12-02 12:40:00
4,2:30pDec 27,2000-12-27 14:30:00
5,2011-12-09 06:00AM CST,2011-12-09 06:00:00
6,2011-12-29 12:10PM EST,2011-12-29 12:10:00
7,2011-12-07 3:35 PM,2011-12-07 03:35:00
8,3:27 PM- Dec 03,2000-12-03 15:27:00
9,12:52 PMJan 02,2000-01-02 12:52:00
10,2011-12-31 2:18 PM,2011-12-31 14:18:00
11,2011-12-27 09:05AM CST,2011-12-27 09:05:00
12,2011-12-09 12:30PM EST,2011-12-09 12:30:00
13,1:00 PM- Dec 09,2000-12-09 13:00:00
14,11:13 PMDec 25,2000-12-25 23:13:00
15,7:25 AM- Dec 17,2000-12-17 07:25:00
16,2011-12-27 10:40 AM,2011-12-27 10:40:00
17,4:00 PM- Dec 25,2000-12-25 16:00:00
18,06:45 AM  Sun 25-Dec-2011,2011-12-25 06:45:00
19,7:30 AM- Dec 03,2000-12-03 07:30:00
20,02:35 PM  Wed 07-Dec-2011,2011-12-07 14:35:00
21,10:15 AM  Tue 13-Dec-2011,2011-12-13 10:15:00
22,11:35 AM- Dec 05,2000-12-05 11:35:00
23,12/20/11 9:05 AM (-00:00),2011-12-20 09:05:00
24,2012-01-03 08:00 PM,2012-01-03 20:00:00
25,6:45 PM- Dec 24,2000-12-24 18:45:00
26,2011-12-04 01:20PM CST,2011-12-04 13:20:00
27,2011-12-05 08:35AM EST,2011-12-05 08:35:00
28,12:15 PM  Mon 12-Dec-2011,2011-12-12 12:15:00
29,2011-12-29 08:42AM EST,2011-12-29 08:42:00
30,2011-12-19 11:50AM CST,2011-12-19 11:50:00
31,12:10 PM- Dec 30,2000-12-30 12:10:00
32,10:40 AM- Dec 03,2000-12-03 10:40:00
33,11:05 AM  Sun 01-Jan-2012,2012-01-01 11:05:00
34,12/03/2011 04:55 PM,2011-12-03 16:55:00
35,2011-12-07 12:30 PM,2011-12-07 12:30:00
36,2011-12-10 11:25 PM,2011-12-10 23:25:00
37,Tue- Dec 20 12:46 PM,2000-12-20 12:46:00
38,2011-12-14 02:30PM EST,2011-12-14 14:30:00
39,8:25 PMDec 22,2000-12-22 20:25:00
40,2011-12-27 11:55AM MST,2011-12-27 11:55:00
41,December 25- 2011               02:55 PM,2011-12-25 14:55:00
42,12/14/11 9:00 PM (-08:00),2011-12-14 21:00:00
43,6:00 AM- Jan 02,2000-01-02 06:00:00
44,Dec 30 - 3:50pm,2000-12-30 15:50:00
45,4:15pJan 2,2000-01-02 16:15:00
46,2011-12-08 3:05 PM,2011-12-08 03:05:00
47,7:00 AM- Dec 30,2000-12-30 07:00:00
48,12:00 PM- Dec 22,2000-12-22 12:00:00
49,7:30 AM- Dec 19,2000-12-19 07:30:00
50,06:00 AM  Sat 31-Dec-2011,2011-12-31 06:00:00
51,8:00 PM- Dec 07,2000-12-07 20:00:00
52,6:30 PM- Dec 20,2000-12-20 18:30:00
53,Sun- Jan 1 1:29 PM,2000-01-01 13:29:00
54,10:40 AM  Fri 30-Dec-2011,2011-12-30 10:40:00
55,January 2- 2012               03:35 PM,2012-01-02 03:35:00
56,2012-01-03 7:30 AM,2012-01-03 07:30:00
57,2011-12-27 12:00 PM,2011-12-27 12:00:00
58,Dec 10 - 6:30am,2000-12-10 06:30:00
59,2011-12-29 11:15 AM,2011-12-29 11:15:00
60,2011-12-11 6:00 AM,2011-12-11 06:00:00
61,2011-12-25 11:05 AM,2011-12-25 11:05:00
62,7:15aJan 1,2000-01-01 07:15:00
63,12:00 PM- Dec 27,2000-12-27 12:00:00
64,2011-12-13 02:55 PM,2011-12-13 14:55:00
65,04:20 PM  Sun 04-Dec-2011,2011-12-04 16:20:00
66,10:45aDec 8,2000-12-08 10:45:00
67,7:00 AM- Dec 07,2000-12-07 07:00:00
68,04:15 PM  Thu 29-Dec-2011,2011-12-29 04:15:00
69,12:15 PM- Dec 01,2000-12-01 12:15:00
70,1:05 PM- Dec 04,2000-12-04 13:05:00
71,2011-12-01 11:50AM CST,2011-12-01 11:50:00
72,12:00 PM  Thu 01-Dec-2011,2011-12-01 12:00:00
73,2011-12-14 03:05PM EST,2011-12-14 03:05:00
74,4:00 PM- Dec 24,2000-12-24 16:00:00
75,12/14/11 8:25 PM (-06:00),2011-12-14 20:25:00
76,2011-12-22 08:25AM EST,2011-12-22 08:25:00
77,2011-12-15 4:25 PM,2011-12-15 16:25:00
78,Dec 02 - 7:10am,2000-12-02 07:10:00
79,Dec 09 - 6:00am,2000-12-09 06:00:00
80,7:00 AM- Jan 01,2000-01-01 07:00:00
81,6:00 AM- Dec 18,2000-12-18 06:00:00
82,11:35 AM- Dec 16,2000-12-16 11:35:00
83,2011-12-30 2:35 PM,2011-12-30 14:35:00
84,12/24/11 11:05 AM (-07:00),2011-12-24 11:05:00
85,2011-12-08 11:05 AM,2011-12-08 11:05:00
86,3:05 PM- Dec 27,2000-12-27 15:05:00
87,10:40aDec 8,2000-12-08 10:40:00
88,7:15aDec 2,2000-12-02 07:15:00
89,12/17/11 8:30 AM (-05:00),2011-12-17 08:30:00
90,2011-12-02 07:15 AM,2011-12-02 07:15:00
91,02:55 PM  Sun 01-Jan-2012,2012-01-01 14:55:00
92,2011-12-20 06:45PM CST,2011-12-20 18:45:00
93,2011-12-07 12:10 PM,2011-12-07 12:10:00
94,Dec 02 - Not Available,2000-12-02 00:00:00
95,2011-12-12 7:10 AM,2011-12-12 07:10:00
96,8:35 AM- Dec 31,2000-12-31 08:35:00
97,Dec 31 - 6:00am,2000-12-31 06:00:00
98,7:00 AM- Dec 20,2000-12-20 07:00:00
99,7:10 AM- Dec 26,2000-12-26 07:10:00
100,12/5/11 8:55 AM (-06:00),2011-12-05 08:55:00
101,2011-12-17 10:15 AM,2011-12-17 10:15:00
102,2011-12-12 8:29 AM,2011-12-12 08:29:00
103,2011-12-20 6:59 AM,2011-12-20 06:59:00
104,06:30 AM  Fri 30-Dec-2011,2011-12-30 06:30:00
105,10:39 AM- Dec 09,2000-12-09 10:39:00
